id,marca,nombre,codigo,desc,familia,talles,precio_uno,precio_tres,precio_cantidad

boxer-ciudadela,BOXER TOM,PROMO BOXER CIUDADELA,48-5114,Boxer TOM,Boxer,S|M|L|XL|XXL,5000,4000,3000
promo-pack,PACK,PROMO PACK,27-111,Pack Dama,PACK,ÚNICO,4000,4000,4000
promo-pack,PACK,PROMO PACK,27-112,Pack Nenas,PACK,ÚNICO,4000,4000,4000
promo-pack,PACK,PROMO PACK,27-113,Pack,PACK,ÚNICO,4000,4000,4000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2556,Media soquete transparente,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2519,Media 3/4 fantasía,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-1364,Soquete piqué colores,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2562,Soquete gloria,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-1347,Tobillera yoga toeless,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2492,Panty Fantasía Flower,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2462,Medias panty algodón rayas,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-1302,Tobilleras algodón lycra invisible,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2483,Medias 3/4 escocia gruesa,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2482,Panty escocia,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2467,Medias 3/4 comic,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2554,Panty life,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2605,Media Mora,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2566,Panty,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2394,Media 3/4 finas,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2429,Panty lycra fina hojas,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2436,Medias Ultra Opaca Morley,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2417,Panty brillos lurex,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2496,Panty media fina lycra mini fantasía,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2555,Media transparente rayada,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2579,Soquete cuore,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2509,Panty kitty infantil,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2518,Panty ribbon,Medias,ÚNICO,3000,3000,3000
mora-medias-3000,MORA,PROMO MEDIAS MORA,09-2584,Media soquete lurex,Medias,ÚNICO,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-87,Wonder Mod Tiro Corto Clásica,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-043,Vedetina algodón lycra estampada/puntilla,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-88,Wonder Mod Short,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-042,Colaless algodón puntilla,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-422,Colaless viena microfibra,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-423,Vedetina viena microfibra,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-451,Culote animal print,Bombachas,S|M|L|XL,3000,3000,3000
mora-bombachas-3000,MORA,PROMO BOMBACHAS MORA,09-424,Culoteless microfibra viena,Bombachas,S|M|L|XL,3000,3000,3000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-2577,Mini medias soquete gloria,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-2565,Soquete charo lycra rosas,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-2617,Media caña escocesa,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-2616,Media caña escocesa,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-2574,Media 3/4 velvet fantasía,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-1241,Media soquete con moño razo,Medias,ÚNICO,4000,4000,4000
mora-medias-4000,MORA,PROMO MEDIAS MORA,09-1354,Media 3/4 tramas winter,Medias,ÚNICO,4000,4000,4000
